FOF_Halo_IDs,mass_ratio
438.0,0.02964291320157393
439.0,0.006977811349701064
440.0,0.004586847558237521
441.0,0.009691522239018629
442.0,0.01225286170167738
443.0,0.0037040506776459758
444.0,0.016830618469724706
445.0,0.07451398631682135
446.0,0.02390570542870305
447.0,0.02408899183613924
448.0,0.018656339057818
449.0,0.01335113397374477
450.0,0.006334451980892509
451.0,0.005254688904383612
452.0,0.013538474290371078
453.0,0.012013725450912182
454.0,0.003930352645460719
455.0,0.011373904168627028
456.0,0.010821022726474347
457.0,0.036533059983188135
458.0,0.028019698466257813
459.0,0.049393126559575125
460.0,0.19358077033398863
461.0,0.008785968074380533
462.0,0.00469997233640263
463.0,0.016604665904996103
464.0,0.006365433651329706
465.0,0.01988526217775976
466.0,0.018990156882191727
467.0,0.004114459485364544
468.0,0.3604065014250413
469.0,0.01488385796495678
470.0,0.02055279268379377
471.0,0.008929207483164189
472.0,0.054235045211128964
473.0,0.02661120884544958
474.0,0.022213620068805326
475.0,0.02359072146210298
476.0,0.06376393464630474
477.0,0.02027338181535988
478.0,0.008986451077752802
479.0,0.013960961551973641
480.0,0.009812964672867786
481.0,0.015280283694882714
482.0,0.007571273279595349
483.0,0.0176466955433521
484.0,0.006687555612048123
485.0,0.22060271565565776
486.0,0.014984002066177443
487.0,0.017193008689872225
488.0,0.008736291900333634
489.0,0.015843698734113815
490.0,0.011817895198371502
491.0,0.15283524373403867
492.0,0.06228746344629754
493.0,0.028040963868213222
494.0,0.01296090426230601
495.0,0.027936314458636605
496.0,0.011071240284771376
497.0,0.006736307704973744
498.0,0.010082959323150788
499.0,0.027291673369071064
500.0,0.008239628101256589
501.0,0.028632413122982127
502.0,0.025071095908684254
503.0,0.007908689889053066
504.0,0.030963690234266435
505.0,0.08431392371123121
506.0,0.01845049743810425
507.0,0.015029183401208734
508.0,0.01600806157812403
509.0,0.04058192671834321
510.0,0.03469492541749995
511.0,0.026918546303747643
512.0,0.05896167555852546
513.0,0.00717956142956445
514.0,0.009765579537846162
515.0,0.008067821717377245
516.0,0.03809150728829574
517.0,0.006443235856850961
518.0,0.024191836821721543
519.0,0.006339501381031952
520.0,0.07715835909069385
521.0,0.03444054352249154
522.0,0.02749695043853853
523.0,0.03236338249764425
524.0,0.02502421188410648
525.0,0.033137068259186796
526.0,0.013822572471199819
527.0,0.02665983352707928
528.0,0.07861407601978093
529.0,0.006329542743369615
530.0,0.02427668638922735
531.0,0.019354950459987405
532.0,0.03846945897783396
533.0,0.00833571427161921
534.0,0.0681251464472802
535.0,0.007387126294540733
536.0,0.01000991364190153
537.0,0.05048407559373683
538.0,0.06249178547026492
539.0,0.014117206187250934
540.0,0.01251120031073448
541.0,0.020478540125639703
542.0,0.07468458380389857
543.0,0.06443184075485667
544.0,0.018556885330013324
545.0,0.007412537373623146
546.0,0.17087581664501383
547.0,0.1022777239651682
548.0,0.06755434766637386
549.0,0.020538222846504785
550.0,0.18345428951714
551.0,0.034154670005763034
552.0,0.16516182530968077
553.0,0.013726793357349637
554.0,0.006039696945574009
555.0,0.08122420643290071
556.0,0.006242862434415139
557.0,0.008261708307133688
558.0,0.016205923135555227
559.0,0.02709158165014384
560.0,0.006279112605751054
561.0,0.006369111790605801
562.0,0.011742874386203757
563.0,0.029972657658741332
564.0,0.0280173394332032
565.0,0.019648775850905062
566.0,0.007262502292107804
567.0,0.07860141817130795
568.0,0.008439170479506503
569.0,0.002559626169533223
570.0,0.12414506393307741
571.0,0.05553334916820681
572.0,0.016012832567460663
573.0,0.03489369315341543
574.0,0.09293129047763873
575.0,0.005937945900777366
576.0,0.008104251571458176
577.0,0.030447119498056084
578.0,0.03542377276411373
579.0,0.028970558217591758
580.0,0.11453403592220951
581.0,0.06492374896754509
582.0,0.02160714730071493
583.0,0.02479276952427814
584.0,0.019773631200357113
585.0,0.01401823374308267
586.0,0.03171546288622366
587.0,0.03612530411609674
588.0,0.036646444790743186
589.0,0.01944191534778362
590.0,0.017586439416116158
591.0,0.017067747922768575
592.0,0.03489208830546985
593.0,0.021260591887134153
594.0,0.022857398902582
595.0,0.003356449192917496
596.0,0.009958973269742204
597.0,0.04379117586121005
598.0,0.01877668899045985
599.0,0.007946757048116681
600.0,0.04033010302750434
601.0,0.02289733844863879
602.0,0.009194734267147179
603.0,0.02054375788357226
604.0,0.022832570039873237
605.0,0.011590467542305813
606.0,0.0071633921150848915
607.0,0.007201836111983213
608.0,0.04271703609594546
609.0,0.013108574543560002
610.0,0.021585268060534544
611.0,0.010290063879159182
612.0,0.011396704284689056
613.0,0.023750302858546343
614.0,0.06224329186041823
615.0,0.030725256350322066
616.0,0.007653379476393433
617.0,0.010987869976710057
618.0,0.006388031369527422
619.0,0.06441606529065017
620.0,0.008932345566222886
621.0,0.01604836976115558
622.0,0.10245812046658534
623.0,0.054967674425446644
624.0,0.011115089875187147
625.0,0.025227214513474934
626.0,0.0064181606928217965
627.0,0.019668539753008245
628.0,0.025874815701284234
629.0,0.011938766578788364
630.0,0.03225392169275223
631.0,0.01223784829048066
632.0,0.006854870224859073
633.0,0.022628844939025863
634.0,0.03390403950718253
635.0,0.01847530927308347
636.0,0.01369188131583524
637.0,0.006766613985844522
638.0,0.017825540169809976
639.0,0.009397039920747623
640.0,0.010125527821111634
641.0,0.013555166627394054
642.0,0.006402323778576488
643.0,0.015705828807333372
644.0,0.06915485780081243
645.0,0.026251081292964558
646.0,0.014435235307027146
647.0,0.06206720928263361
648.0,0.07334323982679325
649.0,0.015141796000716452
650.0,0.016287711575755662
651.0,0.03421287561009839
652.0,0.030348226966641814
653.0,0.07597044641805324
654.0,0.01111388103898353
655.0,0.04684102324227075
656.0,0.02716672864895917
657.0,0.036238307160399365
658.0,0.1247489576153334
659.0,0.015154634758286718
660.0,0.009994124278120799
661.0,0.05649912140815779
662.0,0.003040755413197787
663.0,0.009194540830822008
664.0,0.011897067624018097
665.0,0.020155652259857444
666.0,0.0037420540005698496
667.0,0.03958702898211039
668.0,0.009646824477591376
669.0,0.004347094803376199
670.0,0.03754840268832352
671.0,0.014032487916693096
672.0,0.04468055462551545
673.0,0.030325077595561092
674.0,0.042619854193376945
675.0,0.059591721798713936
676.0,0.015992661311742064
677.0,0.006680608900684415
678.0,0.007792886868685001
679.0,0.012322248596128856
680.0,0.05869789982886098
681.0,0.017966455006222827
682.0,0.010467345240617282
683.0,0.058711440174507856
684.0,0.0658686851181661
685.0,0.00872002834365221
686.0,0.06490220813184594
687.0,0.02681935083027742
688.0,0.07311801287034857
689.0,0.11642698177257375
690.0,0.09301999354162581
691.0,0.04234611161757361
692.0,0.025145645380748084
693.0,0.01044149145548469
694.0,0.009375921800270186
695.0,0.006182424354993964
