FOF_Halo_ID,Subhalo_ID,sigma_0_projecty,sigma_3_projecty,sigma_5_projecty,sigma_10_projecty
16887424,9704253,61.43671959494079,61.15656345080106,62.794351294045335,62.564206904454274
16926184,9722871,797.5639353625111,1.003639951739021,1.1350748813239369,1.1350748813239369
16957500,9743417,41.61420975703859,43.92336454980416,43.92336454980416,15.090167026692935
16989050,9762301,1715.95041686822,1715.9037343084851,1717.560611841996,1719.2174905992997
17022321,9782373,1.2937922774309074,1.1811489013556522,2.5711903262040336,9.078632855013959
17056006,9803870,174.47113539429458,4.378943226587793,4.378943226587793,5.026922605941116
17088453,9821989,136.31555846291613,4.307430561166307,5.870613205600102,4.438674517595933
17122549,9842105,707.3028988249214,1.0360388581384512,2.5930932176747157,2.5151648953015635
17153358,9862271,331.5068726024018,1.2710370280301362,2.521534653986595,1.5387091791460557
17186809,9882817,325.00564507989355,325.00564507989355,16.323988050119876,14.725489428715404
17219533,9904386,1.158946466966603,1.185778032156298,2.6206102500015946,3.5296412796291823
17252239,9925107,1.2574428303241687,1.2574428303241687,1.2574428303241687,1.1497729388839184
17282014,9944412,166.75609445480964,166.75609445480964,166.75609445480964,165.21859545879076
17313871,9963152,284.78409197245793,284.78409197245793,284.78409197245793,7.535402218110482
17344823,9982427,1.1545038517033872,1.2128575802818307,1.1909842567107987,4.8601361097607265
17379158,10002434,1.211802114165545,1.2559873704888338,1.2559873704888338,1.2559873704888338
17412194,10021435,27.45842147397671,1.4272536864970289,0.9193435955631466,2.422474732365948
17443384,10041199,105.2274214204434,105.2274214204434,105.2274214204434,104.08930345340717
17479485,10058986,359.2988520319368,358.3610059962618,356.886576567137,355.4137604774163
17510142,10077362,2.5269534467356327,1.2688373289910448,2.7003850716821134,9.217783463067866
17536971,10093794,1.0614051569917469,1.2831524759277007,1.2831524759277007,1.0614051569917469
17567216,10110413,929.1676291821088,929.1676291821088,929.1676291821088,703.7109516839994
17599176,10129434,600.2404445732024,598.8928274360684,598.8928274360684,597.9282360270496
17633347,10146632,2012.2192189910327,2012.2192189910327,2012.2192189910327,2012.2192189910327
17669637,10165618,618.7809761497598,45.851771311405216,15.608305614886383,27.402894555234877
17699372,10182757,480.3871501615829,2.66656615644646,2.66656615644646,1.1418051212848455
17729173,10198250,761.7323274312666,422.82090640433194,4.301924356556239,3.5675816922768013
