fof_halo_id_99,snap,halo_id_snap,blue_frac_05,blue_frac_03,merger_score_pre,merger_score_post
17589327,73,18132778,0.2857142857142857,0.23809523809523808,0.7814214762520123,0.0
17613539,73,18157911,0.16981132075471697,0.11320754716981132,0.17536814515066218,0.0
17645096,73,18188178,0.31666666666666665,0.21666666666666667,0.83552490556636,0.0
17672515,73,18216103,0.3508771929824561,0.2982456140350877,1.768418939002658,0.0
17704708,73,18245520,0.37037037037037035,0.2777777777777778,0.17536814515066218,0.4812340719660994
17735014,73,18278263,0.29411764705882354,0.23529411764705882,0.2019690187351684,0.1196075061270043
17759338,73,18304989,0.21428571428571427,0.14285714285714285,0.27835753704270016,1.143088022108215
17784892,73,18331674,0.5166666666666667,0.43333333333333335,0.0,0.6130221307762063
17812828,73,18359963,0.38235294117647056,0.35294117647058826,0.0,0.37657231943544156
17838922,73,18387263,0.30303030303030304,0.25757575757575757,0.4572468118129179,0.5775938925223767
17869429,73,18417753,0.5,0.275,0.8475518208254955,0.4961798255624459
17902774,73,18452056,0.23684210526315788,0.15789473684210525,0.0,0.11960750612700433
17927695,73,18479052,0.375,0.3333333333333333,0.0,1.0380814735294726
17950429,73,18505831,0.6585365853658537,0.4878048780487805,0.0,1.3134973096268936
17983895,73,18537738,0.23255813953488372,0.18604651162790697,0.4439784005537978,1.781295356469184
18007868,73,18563622,0.3877551020408163,0.30612244897959184,0.8475518208254955,0.623747994779084
