FOF_Halo_ID,Subhalo_ID,sigma_0_projectx,sigma_3_projectx,sigma_5_projectx,sigma_10_projectx
16230920,9326278,17.274873082198532,1.1462143129567666,3.484065846194368,8.459888060854926
16267749,9351824,7.132098696186257,6.279677849781991,4.823144233392424,4.375894603196083
16309891,9372972,659.2354955160453,1.2877784983473992,1.3488461304100887,1.3488461304100887
16349839,9395922,2.85053650013411,1.4179547165864033,1.4179547165864033,4.589605410968766
16388583,9419077,826.7408110850256,826.7408110850256,15.176400045155175,11.73804584798105
16427321,9439819,655.5356791936456,1.1559858677615409,3.492552273739181,4.345734417026375
16462749,9461455,139.68757541704866,111.52286922631738,111.52286922631738,109.90409927962148
16498961,9480893,1.0841219082169087,1.234865560545476,1.2629982462624194,2.727531834373085
16533631,9501405,886.1745334222466,1.228777813438869,2.492872721435571,5.691822262905697
16566013,9523059,224.6252935622864,224.6252935622864,222.9677978152591,218.03554960511224
16602584,9543673,653.7423192988327,17.593079227871115,28.208292839839864,33.93998816773907
16637109,9565073,521.6590550142552,2.646286905407812,2.646286905407812,4.899250855226332
