Index,FOF_Halo_ID_At99,Subhalo_ID_At99,FOF_Halo_ID_At92,Subhalo_ID_At92,GroupPos,Group_R_Crit200,Group_R_Crit500
84,8874396,4904477,8977751,"[488930.625, 437073.375, 498851.40625]",1563.7501220703125,1067.967529296875
85,8943467,4941002,9048590,"[673211.0, 221740.546875, 337385.625]",1343.77099609375,868.5369873046875
86,9009954,4984017,9119618,"[389679.875, 629442.25, 433294.15625]",1572.351318359375,1032.0184326171875
87,9083738,5024159,9194581,"[82782.1484375, 189854.734375, 569505.5625]",1497.8138427734375,981.2655029296875
88,9158821,5064045,9270337,"[344849.9375, 89916.015625, 197044.8125]",1531.7291259765625,1015.6723022460938
89,9229180,5101952,9342053,"[183090.34375, 370026.90625, 444245.40625]",1500.8221435546875,1004.867919921875
90,9298035,5139685,9412597,"[245421.828125, 674313.6875, 61748.96875]",1529.077392578125,980.892822265625
91,9363765,5180405,9480039,"[268040.1875, 114385.109375, 29094.390625]",1422.5511474609375,921.4280395507812
92,9439759,5221641,9556165,"[362920.4375, 509068.6875, 668109.25]",1561.4312744140625,1028.5250244140625
93,9513551,5262256,9628767,"[440284.5, 501873.09375, 324561.65625]",1518.1883544921875,982.7307739257812
94,9574391,5302286,9692422,"[37812.24609375, 595511.5, 3115.1123046875]",1540.328369140625,1013.0651245117188
95,9644244,5338008,9760565,"[330483.21875, 386947.75, 666435.3125]",1562.638671875,1057.8148193359375
96,9720881,5374938,9833858,"[589233.0, 258204.953125, 1682.265625]",1256.9239501953125,750.6348266601562
97,9819553,5412682,9924341,"[132349.296875, 318741.28125, 376232.09375]",1571.5462646484375,1002.1243286132812
98,9890449,5451192,9994418,"[601680.375, 171857.390625, 172841.109375]",1503.9443359375,963.120361328125
99,9956048,5487564,10059008,"[192063.5, 400343.71875, 268660.21875]",1440.3099365234375,919.0140380859375
101,10087222,5563365,10187952,"[511597.375, 427177.5625, 557387.3125]",1316.644287109375,878.3311767578125
102,10157377,5599578,10260002,"[517119.3125, 85814.2890625, 642521.6875]",1468.9215087890625,960.1170043945312
103,10219640,5634973,10323258,"[597431.6875, 26603.802734375, 16106.7470703125]",1459.4561767578125,956.3078002929688
