Index,FOF_Halo_ID_At99,Subhalo_ID_At84,FOF_Halo_ID_At84,GroupPos,Group_R_Crit200,Group_R_Crit500
80,8560074,5008673,8732471,"[388285.84375, 212982.6875, 121060.03125]",1066.5816650390625,708.5047607421875
81,8629805,5047444,8806600,"[641766.5625, 363476.0625, 527002.375]",1567.17041015625,1067.71923828125
82,8714627,5089679,8878897,"[276227.5625, 399822.28125, 661955.875]",1160.97265625,678.272705078125
83,8790231,5128657,8954746,"[322818.3125, 357326.34375, 270289.40625]",1438.2261962890625,930.8086547851562
84,8874396,5166907,9035624,"[489286.15625, 436565.375, 498063.75]",1317.5966796875,857.9332275390625
85,8943467,5206333,9111731,"[672964.0, 221696.234375, 337392.46875]",1329.8819580078125,844.3748779296875
86,9009954,5251152,9187604,"[389899.3125, 628926.3125, 433368.75]",1615.1553955078125,1049.474365234375
87,9083738,5293336,9262342,"[82328.65625, 189825.34375, 569364.75]",1560.3175048828125,1012.6157836914062
88,9158821,5334901,9336845,"[344747.46875, 89704.8671875, 197209.359375]",1647.839111328125,1078.2320556640625
89,9229180,5374472,9406210,"[183671.890625, 370342.65625, 444150.5625]",1570.164794921875,983.91943359375
90,9298035,5414027,9475827,"[245412.09375, 674302.0, 61479.46875]",1560.8814697265625,1036.17578125
91,9363765,5457265,9542454,"[267780.8125, 114236.9453125, 28710.021484375]",1555.1104736328125,1045.2569580078125
92,9439759,5500393,9618320,"[363003.0, 509607.15625, 668390.0]",1530.39453125,995.6796875
93,9513551,5543535,9692480,"[440413.90625, 501430.375, 324596.15625]",1501.1416015625,992.1587524414062
94,9574391,5585462,9755953,"[38034.2890625, 595270.125, 2657.16552734375]",1635.10888671875,1018.2996826171875
95,9644244,5622988,9821916,"[330664.8125, 386819.59375, 666374.25]",1436.38134765625,946.4142456054688
96,9720881,5662021,9898563,"[589105.1875, 258592.53125, 1426.10107421875]",1175.607666015625,723.216796875
97,9819553,5701991,9980528,"[132379.296875, 318309.1875, 376575.96875]",1584.590576171875,1062.2845458984375
98,9890449,5742550,10050921,"[602132.0625, 171639.5625, 172665.328125]",1447.017822265625,942.847900390625
99,9956048,5780854,10118255,"[191622.59375, 400352.3125, 268627.375]",1567.3421630859375,1033.4595947265625
100,10017312,5819745,10182163,"[173887.640625, 618577.3125, 291155.3125]",1322.4461669921875,837.6223754882812
101,10087222,5860190,10250314,"[511486.6875, 427556.4375, 557663.0625]",1350.48388671875,865.184326171875
102,10157377,5898222,10325230,"[516954.59375, 85487.3828125, 642920.6875]",1605.641845703125,1078.422607421875
103,10219640,5935626,10388588,"[597005.5, 26808.728515625, 16423.3046875]",1571.6595458984375,1054.084716796875
104,10293151,5975386,10461290,"[192989.234375, 603173.1875, 271313.5625]",1492.0467529296875,992.8394165039062
105,10351662,6015783,10523339,"[559441.0625, 382931.65625, 509731.125]",1616.655029296875,977.9658203125
106,10422957,6051780,10591373,"[7763.16748046875, 391897.09375, 631826.8125]",1521.0958251953125,1006.2944946289062
107,10484363,6090578,10653720,"[425199.09375, 586437.125, 587834.125]",1435.981689453125,940.7437744140625
108,10545631,6129057,10719334,"[53421.72265625, 605156.5, 187381.921875]",1305.3944091796875,814.124267578125
