FOF_Halo_ID,Subhalo_ID,sigma_0_projectz,sigma_3_projectz,sigma_5_projectz,sigma_10_projectz
9755953,5585462,1.0366610448227436,1.3198765881020944,1.3198765881020944,6.2554532218222265
9821916,5622988,170.8538560687522,1.2856976586329343,1.288562116194205,2.6762770562516938
9898563,5662021,1.0626374375201972,1.0626374375201972,1.0626374375201972,4.688099652348976
9980528,5701991,2.529008549391404,1.0110902960618011,1.0110902960618011,2.529008549391404
10050921,5742550,174.62036613562574,6.903487850466624,7.995730327425601,12.92006125356118
10118255,5780854,1484.7542348693473,1.018281427662209,140.28269147532583,140.32217917770072
10182163,5819745,5.825073634570314,4.175841455004458,6.189569594481868,8.376949150051336
10250314,5860190,1.1769387407216831,2.9172441002733733,2.9172441002733733,2.9172441002733733
10325230,5898222,1.1117715061970128,1.175066030033521,1.175066030033521,2.6495692413225282
10388588,5935626,1.4014729587365875,1.4014729587365875,2.812874626277479,2.812874626277479
10461290,5975386,1126.4822188075796,1126.4822188075796,1126.4822188075796,1126.4822188075796
10523339,6015783,162.80144282666214,177.07070986392736,176.105758190918,151.67747972568986
10591373,6051780,1.0461684784225473,1.0461684784225473,1.2489106767478118,2.5403341921272595
10653720,6090578,6.456386821356318,1.2726427181573041,1.2726427181573041,6.494774818984807
10719334,6129057,2.748848565702556,1.0687616455038023,1.0687616455038023,2.6431584547762395
10789684,6168410,562.9812126180435,562.9812126180435,4.790063690676427,1.2286959101153356
10850667,6205698,798.3651989627865,798.3651989627865,798.3651989627865,44.116829979630836
10913474,6246528,794.4697581066632,794.4697581066632,794.4697581066632,794.4697581066632
10978509,6283650,153.30866475229107,11.734896042941285,11.238607595568112,9.649816161068658
11054451,6323025,435.06839896167577,1.0814448434312312,1.0814448434312312,1.0814448434312312
11114399,6362721,901.2654579809938,901.2654579809938,5.922858303534388,42.101420151908044
11181627,6400271,182.05198657014222,44.31530486848899,48.10440120571135,47.21969916665437
11244677,6438804,3.262067365398789,3.262067365398789,2.3435424812369705,2.3435424812369705
11306469,6474948,779.9836405613547,3.035246667358815,2.859295185262539,35.66361797114783
11366567,6513711,37.75127037939865,4.303803951171208,34.39557795697576,30.75974548222835
11427189,6551908,879.5679053128499,4.826113048058739,8.258172752246963,14.544252693161825
11494741,6587344,1.225511266061302,1.225511266061302,1.225511266061302,1.225511266061302
11557421,6623698,156.96417036246643,143.13181474626933,144.69838571989843,370.2802361024262
11616007,6658663,2.2726941165181715,0.715761605798749,3.7266219468590296,6.058741680003074
11669648,6694835,487.3139898735062,487.3139898735062,3.397641028133024,8.368839135630605
11728256,6730216,165.37866129793576,161.97191353435187,158.4639256217354,156.7610462027245
11787944,6768469,5.862570830603189,15.266244545072249,16.64759360323906,15.266244545072249
11842426,6803322,296.6264609164098,2.532129519454547,2.551304093279384,2.691336673871783
11899947,6834891,2.68982989941989,1.100750131923136,1.1857482666718004,3.58748139039818
11956131,6868640,738.740319528813,1.2363554422848766,2.698996674920849,4.301099577170154
